"children_group","primary_link_eligible","event_registered_divorce","followup_years"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"3 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"3 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"NA","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"NA","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"NA","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"NA","FALSE","0","5"
"2 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"3 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"NA","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"3 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"4 o más hijos","FALSE","0","5"
"1 hijo","FALSE","0","5"
"1 hijo","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
"2 hijos","FALSE","0","5"
"0 hijos","FALSE","0","5"
